,AphiaID,scientificname,valid_name,valid_AphiaID,kingdom,phylum,class,order,family,genus
172,127153,Buglossidium luteum,Buglossidium luteum,127153,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Soleidae,Buglossidium
173,111152,Bugula flabellata,Bugulina flabellata,834002,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula
174,140524,Bulbus smithii,Bulbus smithii,140524,Animalia,Mollusca,Gastropoda,Littorinimorpha,Naticidae,Bulbus
175,106983,Bythocaris,Bythocaris,106983,Animalia,Arthropoda,Malacostraca,Decapoda,Bythocarididae,Bythocaris
176,118497,Calathura brachiata,Calathura brachiata,118497,Animalia,Arthropoda,Malacostraca,Isopoda,Leptanthuridae,Calathura
177,559,Calcarea,Calcarea,559,Animalia,Porifera,Calcarea,NA,NA,NA
178,125522,Callionymidae,Callionymidae,125522,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,NA
179,151722,Callionymoidei,Callionymoidei,151722,Animalia,Chordata,Actinopterygii,Perciformes,NA,NA
180,125930,Callionymus,Callionymus,125930,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,Callionymus
181,126792,Callionymus lyra,Callionymus lyra,126792,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,Callionymus
182,126793,Callionymus maculatus,Callionymus maculatus,126793,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,Callionymus
183,126795,Callionymus reticulatus,Callionymus reticulatus,126795,Animalia,Chordata,Actinopterygii,Perciformes,Callionymidae,Callionymus
184,107071,Calocaris,Calocaris,107071,Animalia,Arthropoda,Malacostraca,Decapoda,Axiidae,Calocaris
185,107726,Calocaris macandreae,Calocaris macandreae,107726,Animalia,Arthropoda,Malacostraca,Decapoda,Axiidae,Calocaris
186,1606,Campanulariidae,Campanulariidae,1606,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,NA
187,107275,Cancer bellianus,Cancer bellianus,107275,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer
188,107276,Cancer pagurus,Cancer pagurus,107276,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer
189,125613,Caproidae,Caproidae,125613,Animalia,Chordata,Actinopterygii,Perciformes,Caproidae,NA
190,127419,Capros aper,Capros aper,127419,Animalia,Chordata,Actinopterygii,Perciformes,Caproidae,Capros
191,125504,Carapidae,Carapidae,125504,Animalia,Chordata,Actinopterygii,Ophidiiformes,Carapidae,NA
192,107381,Carcinus maenas,Carcinus maenas,107381,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus
193,229,Cardiidae,Cardiidae,229,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,NA
194,178527,Cardium echinatum,Acanthocardia echinata,138992,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Cardium
195,126156,Careproctus,Careproctus,126156,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Careproctus
196,274422,Careproctus derjugini,Careproctus derjugini,274422,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Careproctus
197,274423,Careproctus dubius,Careproctus dubius,274423,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Careproctus
198,274441,Careproctus macrophthalmus,Careproctus macrophthalmus,274441,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Careproctus
199,127211,Careproctus micropus,Careproctus micropus,127211,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Careproctus
200,159523,Careproctus ranula,Careproctus ranula,159523,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Careproctus
201,127212,Careproctus reinhardti,Careproctus reinhardti,127212,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Careproctus
202,274478,Careproctus tapirus,Careproctus tapirus,274478,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Careproctus
203,274479,Careproctus telescopus,Careproctus telescopus,274479,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Careproctus
204,106674,Caridea,Caridea,106674,Animalia,Arthropoda,Malacostraca,Decapoda,NA,NA
205,135085,Caryophyllia,Caryophyllia,135085,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Caryophyllia
206,112120,Cassidulina,Cassidulina,112120,Chromista,Foraminifera,Globothalamea,Rotaliida,Cassidulinidae,Cassidulina
207,117180,Catablema,Catablema,117180,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Catablema
208,126961,Centrolabrus exoletus,Centrolabrus exoletus,126961,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Centrolabrus
209,126831,Centrolophus niger,Centrolophus niger,126831,Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae,Centrolophus
210,105901,Centrophorus squamosus,Centrophorus squamosus,105901,Animalia,Chordata,Elasmobranchii,Squaliformes,Centrophoridae,Centrophorus
211,11707,Cephalopoda,Cephalopoda,11707,Animalia,Mollusca,Cephalopoda,NA,NA,NA
212,123291,Ceramaster,Ceramaster,123291,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Ceramaster
213,124020,Ceramaster granularis,Ceramaster granularis,124020,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Ceramaster
214,122348,Cerebratulus,Cerebratulus,122348,Animalia,Nemertea,Pilidiophora,Heteronemertea,Lineidae,Cerebratulus
215,100782,Cerianthus,Cerianthus,100782,Animalia,Cnidaria,Anthozoa,Spirularia,Cerianthidae,Cerianthus
216,2688,Cetacea,Cetacea,2688,Animalia,Chordata,Mammalia,Cetartiodactyla,NA,NA
217,107369,Chaceon affinis,Chaceon affinis,107369,Animalia,Arthropoda,Malacostraca,Decapoda,Geryonidae,Chaceon
218,129229,Chaetopterus,Chaetopterus,129229,Animalia,Annelida,Polychaeta,NA,Chaetopteridae,Chaetopterus
219,111365,Chartella papyracea,Chartella papyracea,111365,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Flustridae,Chartella
220,110722,Cheilostomatida,Cheilostomatida,110722,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,NA,NA
221,127259,Chelidonichthys cuculus,Chelidonichthys cuculus,127259,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Triglidae,Chelidonichthys
